id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
ALFACE_ROX_4228,"Alface Roxa","Valor Nutritivo
Nas alfaces podemos encontrar as vitaminas K, A, B1, B2, C e também folato. Quanto aos minerais, destacam-se o magnésio, o cálcio, o manganês e o ferro. Alem disso, são ricas em antioxidantes e em fibras. As fibras têm a particularidade de prolongar a saciedade. Isso significa que, se começar a refeição com um prato de salada, provavelmente vai comer menos no prato principal. Por outro lado, as fibras também ajudam a melhorar o trânsito intestinal.
A nível calórico, as alfaces estão entre os alimentos ideais para que quer perder peso. 100g de alface tem apenas 15 colorias. Nem todas as variedades de alface têm as mesmas propriedades. Um exemplo disso é a alface crespa que tem uma concentração de fibras maior do que as outras. A alface roxa destaca-se por ter uma concentração mais elevada de antocianina que atua como antioxidante no nosso organismo.
Conservação
A conservação das alfaces que colher na sua horta começa no momento da colheita.
Tente colhe-las nos períodos mais frescos do dia, de preferência logo no inicio da manhã.
Depois de colhe-las, deve guarda-las no frigorífico (na gaveta dos vegetais) logo que possível. Se pretende consumi-las num em dois ou três dias, não precisa preocupar-se com mais nada. Contudo, se quiser prolongar o tempo de conservação, pode recorrer a alguns “truques” que vão ajudar.
Uma técnica simples passa por separar as folhas e lavá-las muito bem. Escolha apenas as folhas que estejam intactas. Depois, seque-as com o auxílio de secador de saladas de centrifugação. Guarde numa caixa plástica com tampa tendo o cuidado de forrar a caixa com papel de cozinha. Use uma caixa com tamanho suficiente para que as folhas não fiquem amassadas. Cubra com papel de cozinha antes de fechar a caixa. Se intercalar em camadas as folhas de alface com papel de cozinha, vai prolongar ainda mais o tempo de conservação. Quando notar que as folhas de papel estão húmidas, troque por folhas de papel novas.
Uso culinário
A alface de modo geral é consumida crua e serve como base de muitas saladas.
Pode ainda ser utilizada em sopas ou refogada.
Também é usada em sumos e em chás calmantes.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/organic-Red-leaf-lettuce.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/alface-roxa/,"Legumes","A Cesta Portuguesa",0.99EUR,in stock,ALFACE_ROX_4228,https://www.cestaportuguesa.pt/cart/?add-to-cart=4228,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.99EUR,new,published,,
TOMAT_COR_4196,"Tomate Coração-de-boi","Valor Nutritivo:
O tomate é uma boa fonte de vitaminas A, C e do complexo B. O mesmo também possui quantidades significativas de sais minerais, como o Fósforo, Ferro, Potássio, Cálcio, Magnésio, além de conter pouquíssimas calorias.
Conservação:
O tomate maduro pode ser conservado no frigorífico por uma semana e o verde por até 3 semanas.
Uso culinário:
O tomate pode ser consumido em saladas, molhos, doces, geleias ou sumos.
Para facilitar a retirada da pele ou casca do tomate, espete-o com um garfo e leve-o ao fogo. Mantenha-o a certa distância para não queimá-lo e vá virando o fruto lentamente até começar a soltar a casca. Se o tomate estiver mole, deixe-o de molho em água fria ou gelada por 15 minutos. Ele ficará mais firme e mais fácil de ser cortado.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/tomate-coração.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/4196/,"Legumes","A Cesta Portuguesa",1.75EUR,in stock,TOMAT_COR_4196,https://www.cestaportuguesa.pt/cart/?add-to-cart=4196,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.75EUR,new,published,,
MANG__4079,"Manga Avião","Valor Nutritivo: Dentre as grandezas nutricionais da manga, podemos destacar a presença dos minerais: ferro, cobre, magnésio e cálcio, que se unem em prol do bem-estar do nosso organismo. Além disso, também podemos encontrar a vitamina C na fruta, que facilita a absorção do ferro, tornando a manga uma fruta essencial para a prevenção da anemia, já que a união desses nutrientes promovem a biodisponibilidade, prevenindo a doença. 
 
  
 
Conservação: Se não vai consumir a manga de imediato, é aconselhável que a mantenha no frigorífico, no entanto não mais do que alguns dias. Se o consumo for dentro de dias esta pode ser deixada em temperatura ambiente. 
 
  
 
 Uso culinário: Pode ser consumir a Manga ao natural, fazer um delicioso gelado ou sumo e várias sobremesas.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/manga.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/manga-aviao/,"Frutas","A Cesta Portuguesa",4.99EUR,in stock,MANG__4079,https://www.cestaportuguesa.pt/cart/?add-to-cart=4079,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/pexels-photo-918643.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4.99EUR,new,published,,
ESPARG_3919,"Espargos Verdes","Uso culinário: Os espargos querem-se firmes, frescos e bem verticais. Muito fáceis e rápidos de cozinhar, são considerados um vegetal sofisticado. Com textura tenra e crocante, os espargos são ótimos para adicionar a saladas, ovos e risottos.
Valor nutritivo: Os espargos são ricos em vitaminas K, A, C, B1, B2 e E, ácido fólico e sais minerais, como o cobre, crómio, selénio e glutationa, que promovem a desintoxicação. Ele propicia a circulação nos rins e devido à elevada percentagem de vitamina K permite que o sangue coagule normalmente, protegendo os ossos de fraturas e perda óssea pós-menopausa.
Conservação: Deve colocar os molhos de espargos dentro de um jarro com água na porta do seu frigorífico.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/espargos.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/espargos-verdes/,"Legumes","A Cesta Portuguesa",3EUR,out of stock,ESPARG_3919,https://www.cestaportuguesa.pt/cart/?add-to-cart=3919,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3EUR,new,published,,
MAC_GALA_3792,"Maçã Royal Gala (500gr)","Todas iguais e todas diferentes. Todas as maçãs são um excelente alimento. No entanto, para além das óbvias diferenças visuais e gustativas, também apresentam diferenças de composição nutritiva, de actividade antioxidante e de fitoquímicos. Cada uma das variedades pode destacar-se em um ou vários atributos, devendo ser incluídas numa dieta diversificada.
 
Uso culinário: Um fruto conhecido em todo o mundo só podia ter infinitas utilizações. Desde comidas ao natural, perfeita para tartes, para cozer em molhos, ou até utilizadas em bebidas alcoólicas como sidra ou vinho.
Valor Nutritivo: A maçã contém quantidades razoáveis de fibras e vitaminas do complexo A, B1, B2, C e E, de sais minerais, como cálcio, fósforo, ferro e potássio. São uma otima opção para um snack saudável, pois cada 100 gramas de maçã fornecem, em média, 58 calorias.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/Royal-Gala.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/maca-royal-gala-500gr/,"Frutas","A Cesta Portuguesa",0.95EUR,in stock,MAC_GALA_3792,https://www.cestaportuguesa.pt/cart/?add-to-cart=3792,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/maca_fruta_577486126.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.95EUR,new,published,,
MAC_GOLD_3790,"Maçã Golden Nacional (500gr)","Todas iguais e todas diferentes. Todas as maçãs são um excelente alimento. No entanto, para além das óbvias diferenças visuais e gustativas, também apresentam diferenças de composição nutritiva, de actividade antioxidante e de fitoquímicos. Cada uma das variedades pode destacar-se em um ou vários atributos, devendo ser incluídas numa dieta diversificada.
 
Uso culinário: Um fruto conhecido em todo o mundo só podia ter infinitas utilizações. Desde comidas ao natural, perfeita para tartes, para cozer em molhos, ou até utilizadas em bebidas alcoólicas como sidra ou vinho.
Valor Nutritivo: A maçã contém quantidades razoáveis de fibras e vitaminas do complexo A, B1, B2, C e E, de sais minerais, como cálcio, fósforo, ferro e potássio. São uma otima opção para um snack saudável, pois cada 100 gramas de maçã fornecem, em média, 58 calorias.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/MAÇA-GOLD.png,https://www.cestaportuguesa.pt/loja-online/produtos/maca-golden-500gr/,"Frutas","A Cesta Portuguesa",0.84EUR,in stock,MAC_GOLD_3790,https://www.cestaportuguesa.pt/cart/?add-to-cart=3790,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.84EUR,new,published,,
BAN_MAD_3787,"Banana da Madeira (cacho de 6 bananas)","Valor Nutritivo:   
 
A banana contém grandes quantidades de açúcares: sacarose, frutose e glicose. Além disso, é rica em fibras, vitaminas A, B1, B2 e C, cálcio, fósforo e ferro. 
 
  
Conservação:  
A banana não deve estar exposta à luz solar e deve ser acondicionada num local fresco. 
  
 
Uso culinário:  
 
A banana pode ser ao natural, ou então pode ser utilizada na fabricação de bolos, bolachas, sumos e até mesmo gelados.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/banana-da-madeira.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/banana-da-madeira-cacho-de-6-bananas/,"Frutas","A Cesta Portuguesa",2.49EUR,out of stock,BAN_MAD_3787,https://www.cestaportuguesa.pt/cart/?add-to-cart=3787,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2.49EUR,new,published,,
PIM_PAD_3783,"Pimento Padron (250gr)","Valor Nutritivo: Grande riqueza vitamínica, aliada a um baixo valor energético e alto teor em fibra.
Conservação: Conservar na gaveta inferior do frigorífico a uma temperatura de 6ºC até 5 dias.
Uso Culinário: Pode consumir crú, Assado, Recheado ou em Saladas.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/pimento-padron-1.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/pimento-padron-250gr/,"Legumes","A Cesta Portuguesa",1.99EUR,in stock,PIM_PAD_3783,https://www.cestaportuguesa.pt/cart/?add-to-cart=3783,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/05/pimento-padron.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.99EUR,new,published,,
OVO_3679,"Ovo (6 ovos)","Info Nutricional 
 
São ótimas fontes de proteínas, vitaminas e minerais. Inclusive, o ovo é quase um polivitamínico natural, pois possui boas quantidades de vitaminas A, D, E e do complexo B. Isto significa que, de uma forma geral, é um bom antioxidante, evitando o envelhecimento precoce e o desenvolvimento de doenças crónicas. 
 
  
 
Como preservar: 
 
Procure adquirir embalagens limpas e rejeitar ovos partidos ou com fissuras no acto da compra. Guardar à temperatura ambiente e em local seco, limpo e isento de cheiros. 
 
Não quebrar a cadeia de frio, uma vez colocados os ovos no frigorífico. 
 
  
 
Como consumir: 
 
Os ovos podem ser consumidos crus, fritos, mexidos, cozidos ou assados. Pode ainda fazer bolos e sobremesas com eles. 
 
  
 
Curiosidade: 
 
Antes de cozinhar o ovo, certifique-se que o mesmo está em condições. Coloque o ovo num copo com água, se ele for ao fundo está pronto a ser cozinhado, se flutuar não se encontra próprio para consumo.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/img_920x5182018_11_12_17_10_39_1471423.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/ovo/,"Mercearia","A Cesta Portuguesa",1.2EUR,in stock,OVO_3679,https://www.cestaportuguesa.pt/cart/?add-to-cart=3679,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/414-4140312_brown-egg-png-high-quality-image-2-eggs.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.2EUR,new,published,,
UVA_PRET_3276,"Uva Preta","Valor Nutritivo:
O mineral cujo teor mais se destaca é o potássio, tendo ainda um moderado teor de cálcio, fósforo e magnésio. Do grupo das vitaminas destaca-se o teor de vitamina B6 e, na uva preta, é de realçar também o teor em carotenos (pro-vitamina A). A uva é ainda rica em fitoquímicos benéficos ao organismo, nomeadamente as antocianinas quercetina e resveratrol.
 
Conservação: 
Uma vez que esta fruta não melhora o seu sabor depois de colhida, deve escolher uvas encorpadas, não enrugadas e a sua estrutura deve estar intacta. As uvas têm um período de vida de, aproximadamente, 2 dias quando armazenadas à temperatura ambiente, deteriorando-se muito facilmente. Assim, devem ser idealmente conservadas no frigorífico, em recipiente fechado, onde poderão durar até 7 dias.
 
Uso culinário:
As uvas podem ser consumidas na sua versão fresca (uva de mesa) ou seca (uva passa), sendo maioritariamente consumidas ao natural. Podem ser utilizadas tanto em pratos salgados como doces, tais como: doces, compotas e bolos. São um bom acompanhamento tanto de pratos de carne de aves como de caça.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/uva-preta-2.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/uva-preta/,"Frutas","A Cesta Portuguesa",4.3EUR,in stock,UVA_PRET_3276,https://www.cestaportuguesa.pt/cart/?add-to-cart=3276,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/uva-preta-1.jpg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/uva-preta-3.jpg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/uva-preta.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4.3EUR,new,published,,
